uttid,wav_path,transcription,length_seconds
BAC009S0187W0144,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0187W0144.wav,"{'uttid': 'BAC009S0187W0144', 'text': '楼盘价格调整去重庆', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0187W0144.wav', 'rtf': '0.0091'}",3.762
BAC009S0213W0366,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0213W0366.wav,"{'uttid': 'BAC009S0213W0366', 'text': '减轻了他身上的压力', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0213W0366.wav', 'rtf': '0.0091'}",2.59
BAC009S0354W0188,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0354W0188.wav,"{'uttid': 'BAC009S0354W0188', 'text': '今年春节有什么 VIDEO', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0354W0188.wav', 'rtf': '0.0091'}",4.19
BAC009S0217W0264,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0217W0264.wav,"{'uttid': 'BAC009S0217W0264', 'text': '已经对该问题进行修复', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0217W0264.wav', 'rtf': '0.0091'}",3.41
BAC009S0715W0445,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0715W0445.wav,"{'uttid': 'BAC009S0715W0445', 'text': '但是 DO工作尚未开始', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0715W0445.wav', 'rtf': '0.0091'}",3.002
BAC009S0115W0183,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0115W0183.wav,"{'uttid': 'BAC009S0115W0183', 'text': '这样有利于降低购房成本', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0115W0183.wav', 'rtf': '0.0091'}",3.573
BAC009S0006W0221,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0006W0221.wav,"{'uttid': 'BAC009S0006W0221', 'text': '他们对这个魔术并不感兴趣', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0006W0221.wav', 'rtf': '0.0091'}",3.695
BAC009S0011W0313,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0011W0313.wav,"{'uttid': 'BAC009S0011W0313', 'text': '还有一些出于什么政治设想之类的', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0011W0313.wav', 'rtf': '0.0091'}",2.758
BAC009S0128W0467,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0128W0467.wav,"{'uttid': 'BAC009S0128W0467', 'text': '公司生产经营情况正常', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0128W0467.wav', 'rtf': '0.0091'}",2.875
BAC009S0166W0478,audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0166W0478.wav,"{'uttid': 'BAC009S0166W0478', 'text': '暂停收取门票两个月', 'wav': 'audio/output_wavs_noisy_factory-machine-noise_SNR30/BAC009S0166W0478.wav', 'rtf': '0.0091'}",2.738
